trial,Success,CumSuccess,Total Reward,CumTotal Reward,Planner not Observed,Invalid Move,Trip Duration
1,1.0,1.0,22.0,22.0,0.0,0.0,0.166666666667
2,1.0,2.0,18.0,40.0,0.0,0.0,0.6
3,1.0,3.0,26.0,66.0,0.0,0.0,0.25
4,1.0,4.0,18.0,84.0,0.0,0.0,0.35
5,1.0,5.0,26.0,110.0,0.0,0.0,0.666666666667
6,1.0,6.0,22.0,132.0,0.0,0.0,0.166666666667
7,1.0,7.0,20.0,152.0,0.0,0.0,0.133333333333
8,1.0,8.0,26.0,178.0,0.0,0.0,0.5
9,1.0,9.0,26.0,204.0,0.0,0.0,0.425
10,1.0,10.0,18.0,222.0,0.0,0.0,0.35
11,1.0,11.0,18.0,240.0,0.0,0.0,0.35
12,1.0,12.0,24.0,264.0,0.0,0.0,0.314285714286
13,1.0,13.0,20.0,284.0,0.0,0.0,0.28
14,1.0,14.0,28.0,312.0,0.0,0.0,0.666666666667
15,1.0,15.0,24.0,336.0,0.0,0.0,0.371428571429
16,1.0,16.0,22.0,358.0,0.0,0.0,0.333333333333
17,1.0,17.0,20.0,378.0,0.0,0.0,0.6
18,1.0,18.0,22.0,400.0,0.0,0.0,0.4
19,1.0,19.0,26.0,426.0,0.0,0.0,0.35
20,1.0,20.0,28.0,454.0,0.0,0.0,0.555555555556
21,1.0,21.0,20.0,474.0,0.0,0.0,0.64
22,1.0,22.0,22.0,496.0,0.0,0.0,0.45
23,1.0,23.0,18.0,514.0,0.0,0.0,0.45
24,1.0,24.0,22.0,536.0,0.0,0.0,0.5
25,1.0,25.0,20.0,556.0,0.0,0.0,0.32
26,1.0,26.0,28.0,584.0,0.0,0.0,0.355555555556
27,1.0,27.0,18.0,602.0,0.0,0.0,0.4
28,1.0,28.0,18.0,620.0,0.0,0.0,0.4
29,1.0,29.0,18.0,638.0,0.0,0.0,0.4
30,1.0,30.0,18.0,656.0,0.0,0.0,0.25
31,1.0,31.0,20.0,676.0,0.0,0.0,0.28
32,1.0,32.0,32.0,708.0,0.0,0.0,0.490909090909
33,1.0,33.0,18.0,726.0,0.0,0.0,0.5
34,1.0,34.0,22.0,748.0,0.0,0.0,0.366666666667
35,1.0,35.0,20.0,768.0,0.0,0.0,0.36
36,1.0,36.0,28.0,796.0,0.0,0.0,0.48
37,1.0,37.0,18.0,814.0,0.0,0.0,0.5
38,1.0,38.0,26.0,840.0,0.0,0.0,0.375
39,1.0,39.0,24.0,864.0,0.0,0.0,0.257142857143
40,1.0,40.0,26.0,890.0,0.0,0.0,0.5
41,1.0,41.0,22.0,912.0,0.0,0.0,0.533333333333
42,1.0,42.0,26.0,938.0,0.0,0.0,0.3
43,1.0,43.0,20.0,958.0,0.0,0.0,0.72
44,1.0,44.0,18.0,976.0,0.0,0.0,0.15
45,1.0,45.0,28.0,1004.0,0.0,0.0,0.466666666667
46,1.0,46.0,22.0,1026.0,0.0,0.0,0.333333333333
47,1.0,47.0,22.0,1048.0,0.0,0.0,0.433333333333
48,1.0,48.0,20.0,1068.0,0.0,0.0,0.44
49,1.0,49.0,18.0,1086.0,0.0,0.0,0.5
50,1.0,50.0,18.0,1104.0,0.0,0.0,0.5
51,1.0,51.0,18.0,1122.0,0.0,0.0,0.25
52,1.0,52.0,28.0,1150.0,0.0,0.0,0.333333333333
53,1.0,53.0,18.0,1168.0,0.0,0.0,0.4
54,1.0,54.0,18.0,1186.0,0.0,0.0,0.45
55,1.0,55.0,18.0,1204.0,0.0,0.0,0.15
56,1.0,56.0,26.0,1230.0,0.0,0.0,0.375
57,1.0,57.0,24.0,1254.0,0.0,0.0,0.371428571429
58,1.0,58.0,26.0,1280.0,0.0,0.0,0.5
59,1.0,59.0,18.0,1298.0,0.0,0.0,0.25
60,1.0,60.0,22.0,1320.0,0.0,0.0,0.4
61,1.0,61.0,22.0,1342.0,0.0,0.0,0.366666666667
62,1.0,62.0,24.0,1366.0,0.0,0.0,0.342857142857
63,1.0,63.0,24.0,1390.0,0.0,0.0,0.457142857143
64,1.0,64.0,22.0,1412.0,0.0,0.0,0.4
65,1.0,65.0,18.0,1430.0,0.0,0.0,0.15
66,1.0,66.0,22.0,1452.0,0.0,0.0,0.2
67,1.0,67.0,24.0,1476.0,0.0,0.0,0.542857142857
68,1.0,68.0,28.0,1504.0,0.0,0.0,0.457142857143
69,1.0,69.0,20.0,1524.0,0.0,0.0,0.28
70,1.0,70.0,26.0,1550.0,0.0,0.0,0.425
71,1.0,71.0,24.0,1574.0,0.0,0.0,0.457142857143
72,1.0,72.0,20.0,1594.0,0.0,0.0,0.6
73,1.0,73.0,18.0,1612.0,0.0,0.0,0.2
74,1.0,74.0,20.0,1632.0,0.0,0.0,0.44
75,1.0,75.0,22.0,1654.0,0.0,0.0,0.366666666667
76,1.0,76.0,18.0,1672.0,0.0,0.0,0.35
77,1.0,77.0,26.0,1698.0,0.0,0.0,0.65
78,1.0,78.0,24.0,1722.0,0.0,0.0,0.485714285714
79,1.0,79.0,20.0,1742.0,0.0,0.0,0.24
80,1.0,80.0,26.0,1768.0,0.0,0.0,0.275
81,1.0,81.0,26.0,1794.0,0.0,0.0,0.366666666667
82,1.0,82.0,30.0,1824.0,0.0,0.0,0.48
83,1.0,83.0,22.0,1846.0,0.0,0.0,0.333333333333
84,1.0,84.0,18.0,1864.0,0.0,0.0,0.15
85,1.0,85.0,20.0,1884.0,0.0,0.0,0.4
86,1.0,86.0,28.0,1912.0,0.0,0.0,0.266666666667
87,1.0,87.0,30.0,1942.0,0.0,0.0,0.6
88,1.0,88.0,18.0,1960.0,0.0,0.0,0.3
89,1.0,89.0,22.0,1982.0,0.0,0.0,0.4
90,1.0,90.0,22.0,2004.0,0.0,0.0,0.4
91,1.0,91.0,20.0,2024.0,0.0,0.0,0.44
92,1.0,92.0,20.0,2044.0,0.0,0.0,0.28
93,1.0,93.0,20.0,2064.0,0.0,0.0,0.48
94,1.0,94.0,30.0,2094.0,0.0,0.0,0.36
95,1.0,95.0,24.0,2118.0,0.0,0.0,0.24
96,1.0,96.0,26.0,2144.0,0.0,0.0,0.625
97,1.0,97.0,24.0,2168.0,0.0,0.0,0.52
98,1.0,98.0,26.0,2194.0,0.0,0.0,0.375
99,1.0,99.0,24.0,2218.0,0.0,0.0,0.44
100,1.0,100.0,26.0,2244.0,0.0,0.0,0.325
