state,stay,forward,left,right
"1, right, red, None, None",0.5954244314062499,-0.10097841234375,-0.10097841234375,4.5799752522353065
"1, forward, red, None, None",0.009212301696214408,-1.0063587964191314,-1.0577603049257813,-0.4275
"1, left, green, None, None",0.11710563609374999,-0.26871311390624997,4.6048729053652515,0.303525
"1, right, green, None, None",-0.1736184375,-0.4275,-0.4911090549257812,4.32133795786985
"1, forward, green, None, None",0.0,4.770486221491686,-0.5797434375,-0.4275
"0, left, red, None, None",-0.19870965442271749,-0.855,-1.01125659375,-0.4275
"0, right, green, None, None",0.7310249999999999,0.303525,0.303525,5.417197894783048
"0, right, red, None, None",-0.2686852746720703,-0.855,-0.7129383931809901,4.41225735276282
"1, left, red, None, None",-0.297712215703125,-0.7716375,-0.88650045492231,1.1090279508205996
"0, forward, green, None, forward",0.0,,,
"0, forward, green, None, None",-0.18318900996750984,6.734378454650883,0.4859236125543596,-0.5829370579142578
"0, forward, red, None, None",0.02262559602989926,-0.1705492915187445,-0.16202182694280728,0.9846142274192139
"1, right, green, None, forward",,,,2.0104663322073053
"1, right, red, None, forward",0.018134652825371907,0.011919780338653003,,5.83588894675648
"1, forward, red, None, forward",0.015321070224945731,-0.2474690516799497,-0.2474690516799497,0.45447296600714626
"1, forward, green, forward, None",0.17187397914016417,1.7794650362810145,0.0994495979531471,
"1, forward, green, None, forward",,,,0.6084798178365418
"1, right, green, forward, None",0.01906167910226618,0.05735214025344787,,1.072411610105837
"1, forward, red, None, left",-0.042392951662918364,-0.2911801904763384,-0.2973521843463698,0.8382294772172688
"1, right, green, left, None",,0.29849512225011166,,
"0, left, green, None, None",0.06546675063560921,0.20702636055830165,0.4265902141895305,0.7134713001736521
"1, forward, green, None, left",0.0,0.2997361994333114,0.03612691474160954,
"1, forward, green, None, right",,,-0.1281561672117374,
"1, forward, red, forward, None",,,-0.115660940908593,
"1, forward, green, left, None",0.0040016697963502846,0.4234677636888817,0.09661509876556348,0.1347962018450767
"0, forward, green, left, None",,1.0739547754605983,,
"1, left, green, None, forward",0.0,,,
"1, forward, red, None, right",,,-0.02750728132199173,
"1, forward, red, left, None",,,,0.028576012774570093
